Log dosyası 2025-05-08 08:30:14 tarihinde oluşturuldu.
[2025-05-08 08:30:47] [INFO] Prestashop GET-EDIT senkronizasyon başlatıldı
[2025-05-08 08:42:24] [INFO] İlerleme: 1350 / 3844 ürün işlendi
[2025-05-08 08:42:29] [INFO] İlerleme: 1360 / 3844 ürün işlendi
[2025-05-08 08:42:33] [INFO] İlerleme: 1370 / 3844 ürün işlendi
[2025-05-08 08:42:37] [INFO] İlerleme: 1380 / 3844 ürün işlendi
[2025-05-08 08:42:40] [INFO] İlerleme: 1390 / 3844 ürün işlendi
[2025-05-08 08:42:45] [INFO] İlerleme: 1400 / 3844 ürün işlendi
[2025-05-08 08:42:46] [INFO] Batch işlemi başlatılıyor: 1400-1600 / 3844
[2025-05-08 08:42:51] [INFO] İlerleme: 1410 / 3844 ürün işlendi
[2025-05-08 08:42:56] [INFO] İlerleme: 1420 / 3844 ürün işlendi
[2025-05-08 08:43:01] [INFO] İlerleme: 1430 / 3844 ürün işlendi
[2025-05-08 08:43:06] [INFO] İlerleme: 1440 / 3844 ürün işlendi
[2025-05-08 08:43:11] [INFO] İlerleme: 1450 / 3844 ürün işlendi
[2025-05-08 08:43:15] [INFO] İlerleme: 1460 / 3844 ürün işlendi
[2025-05-08 08:43:18] [INFO] İlerleme: 1470 / 3844 ürün işlendi
[2025-05-08 08:43:22] [INFO] İlerleme: 1480 / 3844 ürün işlendi
[2025-05-08 08:43:29] [INFO] İlerleme: 1490 / 3844 ürün işlendi
[2025-05-08 08:43:38] [INFO] İlerleme: 1500 / 3844 ürün işlendi
[2025-05-08 08:43:44] [INFO] İlerleme: 1510 / 3844 ürün işlendi
[2025-05-08 08:43:51] [INFO] İlerleme: 1520 / 3844 ürün işlendi
[2025-05-08 08:43:56] [INFO] İlerleme: 1530 / 3844 ürün işlendi
[2025-05-08 08:43:59] [INFO] İlerleme: 1540 / 3844 ürün işlendi
[2025-05-08 08:44:03] [INFO] İlerleme: 1550 / 3844 ürün işlendi
[2025-05-08 08:44:07] [INFO] İlerleme: 1560 / 3844 ürün işlendi
[2025-05-08 08:44:10] [INFO] İlerleme: 1570 / 3844 ürün işlendi
[2025-05-08 08:44:13] [INFO] İlerleme: 1580 / 3844 ürün işlendi
[2025-05-08 08:44:17] [INFO] İlerleme: 1590 / 3844 ürün işlendi
[2025-05-08 08:44:20] [INFO] İlerleme: 1600 / 3844 ürün işlendi
[2025-05-08 08:44:20] [INFO] Batch işlemi başlatılıyor: 1600-1800 / 3844
[2025-05-08 08:44:24] [INFO] İlerleme: 1610 / 3844 ürün işlendi
[2025-05-08 08:44:28] [INFO] İlerleme: 1620 / 3844 ürün işlendi
[2025-05-08 08:44:37] [INFO] İlerleme: 1630 / 3844 ürün işlendi
[2025-05-08 08:44:42] [INFO] İlerleme: 1640 / 3844 ürün işlendi
[2025-05-08 08:44:53] [INFO] İlerleme: 1650 / 3844 ürün işlendi
[2025-05-08 08:45:03] [INFO] İlerleme: 1660 / 3844 ürün işlendi
[2025-05-08 08:45:15] [INFO] İlerleme: 1670 / 3844 ürün işlendi
[2025-05-08 08:45:24] [INFO] İlerleme: 1680 / 3844 ürün işlendi
[2025-05-08 08:45:34] [INFO] İlerleme: 1690 / 3844 ürün işlendi
[2025-05-08 08:45:49] [INFO] İlerleme: 1700 / 3844 ürün işlendi
[2025-05-08 08:45:55] [INFO] İlerleme: 1710 / 3844 ürün işlendi
[2025-05-08 08:46:02] [INFO] İlerleme: 1720 / 3844 ürün işlendi
[2025-05-08 08:46:09] [INFO] İlerleme: 1730 / 3844 ürün işlendi
[2025-05-08 08:46:16] [INFO] İlerleme: 1740 / 3844 ürün işlendi
[2025-05-08 08:46:22] [INFO] İlerleme: 1750 / 3844 ürün işlendi
[2025-05-08 08:46:27] [INFO] İlerleme: 1760 / 3844 ürün işlendi
[2025-05-08 08:46:30] [INFO] İlerleme: 1770 / 3844 ürün işlendi
[2025-05-08 08:46:40] [INFO] İlerleme: 1780 / 3844 ürün işlendi
[2025-05-08 08:46:58] [INFO] İlerleme: 1790 / 3844 ürün işlendi
[2025-05-08 08:47:02] [INFO] İlerleme: 1800 / 3844 ürün işlendi
[2025-05-08 08:47:03] [INFO] Batch işlemi başlatılıyor: 1800-2000 / 3844
[2025-05-08 08:47:09] [INFO] İlerleme: 1810 / 3844 ürün işlendi
[2025-05-08 08:47:16] [INFO] İlerleme: 1820 / 3844 ürün işlendi
[2025-05-08 08:47:20] [INFO] İlerleme: 1830 / 3844 ürün işlendi
[2025-05-08 08:47:25] [INFO] İlerleme: 1840 / 3844 ürün işlendi
